"GameIndex","HomeTeam","AwayTeam","Date","AvgO25","AvgU25","AvgH","AvgA","AvgD","Played","TG","HtPos","AtPos","HtSGLG","AtSGLG","HtCGLG","AtCGLG","HtASGPG","AtASGPG","HtACGPG","AtACGPG","HtASGP5G","AtASGP5G","HtACGP5G","AtACGP5G","AGTM","HtASGP3G","AtASGP3G","HtACGP3G","AtACGP3G","HtpercentGO","AtpercentGO","FTR","elo_ht","elo_at","win_e_ht","tilt_ht","tilt_at"
"20/09/2021BenficaBoavista","Benfica","Boavista","20/09/2021",1.54,2.44,1.2,13.63,6.51,5,4,1,6,5,1,0,1,2.6,1.4,0.4,1,2.6,1.4,0.4,1,3.9,3,1.33333333333333,0.333333333333333,0.666666666666667,0.6,0.4,"H",1330.29918155298,1008.82970854353,0.90495025486655,1.21814754177927,0.994230252498983
"20/09/2021Sp BragaTondela","Sp Braga","Tondela","20/09/2021",1.65,2.23,1.33,8.94,5.15,5,4,7,15,0,1,0,2,1.2,1.2,0.8,1.8,1.2,1.2,0.8,1.8,2.6,1,0.666666666666667,0.666666666666667,2.33333333333333,0.4,1,"H",1134.8758296122,899.664466316749,0.85282568539817,0.950745800965788,1.13613624890709
"24/09/2021Sp LisbonMaritimo","Sp Lisbon","Maritimo","24/09/2021",1.83,1.98,1.26,12.56,5.59,6,1,3,11,1,0,0,0,1.66666666666667,1,0.5,1.33333333333333,1.4,1.2,0.6,1.2,2.7,1,1,0.666666666666667,1.33333333333333,0.333333333333333,0.5,"H",1311.71388969215,968.02898912404,0.915394954325692,1.01170043213402,0.861948300461132
"24/09/2021Gil VicentePorto","Gil Vicente","Porto","24/09/2021",1.85,1.95,7.88,1.42,4.48,6,3,7,2,1,5,1,0,1.16666666666667,2.33333333333333,1,0.5,0.8,2.4,1.2,0.6,2.25,1,3,1.33333333333333,0.333333333333333,0.333333333333333,0.5,"A",1005.13343135308,1337.18279380283,0.181164521585244,0.938227336516951,1.20454525438086
"25/09/2021MoreirenseArouca","Moreirense","Arouca","25/09/2021",2.11,1.72,2.12,3.41,3.38,6,3,18,13,0,2,5,2,1.33333333333333,1,2.5,2,1.4,1.2,2.6,2,4.5,1,1.33333333333333,2.66666666666667,2.33333333333333,0.833333333333333,0.666666666666667,"H",1004.9152414384,879.071920647993,0.755352228194366,1.1381188022305,1.19437395196897
"25/09/2021GuimaraesBenfica","Guimaraes","Benfica","25/09/2021",1.84,1.96,5.03,1.66,3.89,6,4,10,1,2,3,2,1,1,2.66666666666667,0.5,0.5,1.2,2.8,0.4,0.4,2.6,0.666666666666667,3.33333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,"A",974.777575762619,1334.10117189288,0.159027673324516,0.889849227425171,1.23770442314445
"25/09/2021TondelaFamalicao","Tondela","Famalicao","25/09/2021",2.04,1.78,3.18,2.26,3.31,6,5,17,15,1,0,3,0,1.16666666666667,0.833333333333333,2,1.5,0.8,1,2.4,1.4,2.75,1,1,2.33333333333333,1,1,0.5,"H",893.777495561956,997.975318297461,0.450943731469702,1.16347390485564,0.981113288717674
"26/09/2021Santa ClaraSp Braga","Santa Clara","Sp Braga","26/09/2021",2.03,1.79,3.86,1.98,3.39,6,2,16,5,1,3,2,1,0.666666666666667,1.5,2.33333333333333,0.833333333333333,0.8,1.4,2.2,1,2.66666666666667,0.666666666666667,1,2.33333333333333,0.333333333333333,0.666666666666667,0.5,"D",983.074679083551,1140.76280036699,0.376419587778678,1.04870800705774,0.973622600844614
"26/09/2021PortimonenseVizela","Portimonense","Vizela","26/09/2021",2.13,1.71,2.2,3.32,3.3,6,0,6,14,2,1,1,1,1.16666666666667,1,0.666666666666667,2,1.2,1.2,0.8,1.8,0,1,1.33333333333333,1,1.33333333333333,0.333333333333333,0.666666666666667,"D",976.645242744978,990.794990436893,0.579689671381107,0.841451297814852,1.05720661274907
"27/09/2021Pacos FerreiraBelenenses","Pacos Ferreira","Belenenses","27/09/2021",2.31,1.6,1.73,5.11,3.52,6,4,9,17,1,1,1,1,0.833333333333333,0.5,1.16666666666667,1.33333333333333,0.6,0.6,1.4,1.2,1.875,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.166666666666667,"D",1031.44312252318,979.212398764865,0.668989101692513,0.969985949111609,0.803798204070558
